logdir,accuracy,n_parameters,runtime,use_for_next,amp,batch_size,conv_ratio,depth,dim,dropout,emb_dropout,epochs,heads,linformer,lr,mlp_dim,n_out_convs,num_workers,patch_size,rel_pos,rel_pos_mul,squeeze_conv,weight_decay,n_mid_convs,sep_conv,resume_dir,cnn_baseline,mlp_dim_mul
p4-e100,0.718,,,True,,,,,,,,,,,,,,,,,,,,,,,,
p2-e100,0.7163,,,False,,,,,,,,,,,,,,,,,,,,,,,,
p2-e300,0.7633,,,False,,,,,,,,,,,,,,,,,,,,,,,,
p4-e100-model2,0.7179,,,True,,,,,,,,,,,,,,,,,,,,,,,,
p4-e100-relpos,0.7545,1901578,1421,True,,,,,,,,,,,,,,,,,,,,,,,,
p4-e100-relpos-d0,0.761,,,False,,,,,,,,,,,,,,,,,,,,,,,,
p4-e100-relpos-nconv1,0.8104,2492170,,True,,,,,,,,,,,,,,,,,,,,,,,,
p4-e100-relpos-nconv2,0.8371,3082762,,True,,,,,,,,,,,,,,,,,,,,,,,,
p4-e100-relpos-nconv2-squeezeconv,0.8437,3099402,2037,False,,,,,,,,,,,,,,,,,,,,,,,,
p4-e100-relpos-relposmul-nconv2-squeezeconv,0.8406,3102102,2180,False,,,,,,,,,,,,,,,,,,,,,,,,
out_gelu,0.8493,3099402,2012,True,,,,,,,,,,,,,,,,,,,,,,,,
linformer,0.8514,2418186,1676,True,,,,,,,,,,,,,,,,,,,,,,,,
e300,0.8748,2418186,5010,False,,,,,,,,,,,,,,,,,,,,,,,,
convratio0.5,0.861,2664202,2053,True,0,64,0.5,3,256,0.1,0.1,100,4,1,0.1,512,2,4,4,1,0,1,0.0001,,,,,
doubleconv,0.8708,3107722,2282,True,0,64,0.5,3,256,0.1,0.1,100,4,1,0.1,512,2,4,4,1,0,1,0.0001,,,,,
nmidconv5,0.8829,4438282,2795,True,0,64,0.5,3,256,0.1,0.1,100,4,1,0.1,512,2,4,4,1,0,1,0.0001,5,,,,
nooutcovs,0.8804,3257098,2593,True,0,64,0.5,3,256,0.1,0.1,100,4,1,0.1,512,0,4,4,1,0,1,0.0001,5,,,,
wd0.00001,0.8638,3257098,2627,False,0,64,0.5,3,256,0.1,0.1,100,4,1,0.1,512,0,4,4,1,0,1,1E-05,5,,,,
dim512-mlpdim1024-depth6-heads8,0.9006,24917770,9632,False,0,64,0.5,6,512,0.1,0.1,100,8,1,0.1,1024,0,4,4,1,0,1,0.0001,5,,,,
p2,0.9157,3346186,6149,True,0,64,0.5,3,256,0.1,0.1,100,4,1,0.1,512,0,4,2,1,0,1,0.0001,5,,,,
p1,0.9129,3737098,26625,False,0,64,0.5,3,256,0.1,0.1,100,4,1,0.1,512,0,4,1,1,0,1,0.0001,5,,,,
p2-nmidconv10,0.925,5563786,8585,True,0,64,0.5,3,256,0.1,0.1,100,4,1,0.1,512,0,4,2,1,0,1,0.0001,10,,,,
sepconv,0.9126,2271306,11138,False,0,64,0.75,3,256,0.1,0.1,100,4,1,0.1,512,0,4,2,1,0,1,0.0001,10,1,,,
dim512-mlpdim512-depth6-heads8,0.9364,39397130,33512,True,0,64,0.5,6,512,0.1,0.1,100,8,1,0.1,512,0,4,2,1,0,1,0.0001,10,0,logs/dim512-mlpdim512-depth6-heads8/best.pth,,
resnet18,0.9381,11173962,2917,,0,64,1,3,100,0.1,0.1,100,4,128,0.1,512,0,4,2,1,0,1,0.0001,10,0,,1,
convratio1.0,0.9313,11197009,10392,,0,64,1,3,251,0.1,0.1,100,4,0,0.1,512,0,4,2,1,0,1,0.0001,6,0,,0,
convratio0.875,0.9355,10770094,14313,,0,64,0.875,3,288,0.1,0.1,100,4,0,0.1,,0,4,2,1,0,1,0.0001,6,0,,0,2
convratio0.75,0.9387,11150254,14958,,0,64,0.75,3,336,0.1,0.1,100,4,0,0.1,,0,4,2,1,0,1,0.0001,6,0,,0,2
convratio0.625,0.9373,10811674,14462,,0,64,0.625,3,384,0.1,0.1,100,4,0,0.1,,0,4,2,1,0,1,0.0001,6,0,,0,2
